"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"reedsville",17,5.11,113,603,"S","F",1.18623719349273e-05,1.97706198915456e-06,0.386900584961753,0.374508024664339,0.14840273390955,0.167012560630685
"reedsville",18,5.15,114,471,"S","B",9.26563379991837e-06,1.54427229998639e-06,0.299858699026484,0.304482167315535,0.0714245412216279,0.12946441685089
"reedsville",19,5.17,115,389,"W","F",7.65250859483704e-06,1.27541809913951e-06,0.246695957280369,0.2474305825055,0.115007981826607,0.0127752041808507
"reedsville",2,6,98,487,"S","F",9.58038993749521e-06,1.5967316562492e-06,0.2661219427082,0.374508024664339,0.14840273390955,1.46070195744775
"reedsville",20,6.15,116,489,"W","C",9.61973445469232e-06,1.60328907578205e-06,0.260697410696269,0.228635741080209,0.133184509060355,0.481462443977326
"reedsville",21,5.12,117,463,"W","B",9.10825573112995e-06,1.51804262185499e-06,0.296492699581053,0.300719524311809,0.302399511938069,0.0279552351369007
"reedsville",22,6.59,118,514,"S","B",1.01115409196561e-05,1.68525681994269e-06,0.255729411220439,0.304482167315535,0.0714245412216279,1.3651541966176
"reedsville",23,5.32,119,689,"S","F",1.35541861744029e-05,2.25903102906715e-06,0.424629892681794,0.374508024664339,0.14840273390955,0.675484429390697
"reedsville",24,5.06,120,1103,"S","C",2.16985012342037e-05,3.61641687236729e-06,0.714706891772192,0.42019403448365,0.409328145645331,1.43900613931262
"reedsville",3,4.92,99,495,"S","B",9.73776800628364e-06,1.62296133438061e-06,0.329870189914757,0.304482167315535,0.0714245412216279,0.710904744083537
"reedsville",4,5.04,100,498,"W","F",9.79678478207929e-06,1.63279746367988e-06,0.323967750730135,0.2474305825055,0.115007981826607,1.33098880632524
"reedsville",5,5.28,101,438,"W","B",8.61644926616613e-06,1.43607487769435e-06,0.271983878351203,0.300719524311809,0.302399511938069,0.190050875257304
"reedsville",6,5.4,102,479,"W","C",9.42301186870679e-06,1.5705019781178e-06,0.290833699651444,0.228635741080209,0.133184509060355,0.934011905889874
"reedsville",7,4.99,103,506,"S","B",9.95416285086772e-06,1.65902714181129e-06,0.332470369100458,0.304482167315535,0.0714245412216279,0.783713869384953
"reedsville",8,5.21,104,668,"S","F",1.31410687438333e-05,2.19017812397221e-06,0.420379678305607,0.374508024664339,0.14840273390955,0.618204967426363
"reedsville",9,5.12,105,414,"S","C",8.14431505980086e-06,1.35738584330014e-06,0.265114422519559,0.42019403448365,0.409328145645331,0.757727576830068
