"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","hour","mean","two.sd","zscore"
"allstar_mine_1","7",4.98,61,1730,"W","B",3.40330073754963e-05,5.67216789591606e-06,1.13898953733254,"72",1.27122287503317,0.255514438162817,1.03503613065001
"allstar_mine_1","8",4.99,62,1689,"W","C",3.32264447729557e-05,5.53774079549261e-06,1.1097676944875,"72",1.52810692501697,0.722088017579848,1.15869317962534
"allstar_mine_1","9",5.07,63,2114,"W","F",4.15871546773406e-05,6.93119244622344e-06,1.36709910181922,"72",1.3440275640102,0.707073510184876,0.065259233945816
"allstar_mine_1","off-site 1",5,79,3040,NA,NA,5.98036661396005e-05,9.96727768993342e-06,1.99345553798668,"72",1.7174490879679,0.550042305893967,1.00358262286825
"allstar_mine_1","off-site 2",4.97,80,2188,NA,NA,4.30429018136335e-05,7.17381696893892e-06,1.44342393741226,"72",1.7174490879679,0.550042305893967,0.996378451691186
"allstar_mine_1","off-site 3",5.04,81,2637,NA,NA,5.18757459243837e-05,8.64595765406396e-06,1.71546778850475,"72",1.7174490879679,0.550042305893967,0.00720417117706905
"allstar_mine_2","1",4.98,82,2074,"W","F",4.08002643333985e-05,6.80004405556642e-06,1.36547069388884,"72",1.24579276995495,0.584590788031189,0.409441703099497
"allstar_mine_2","10",5.04,91,2521,"S","B",4.95937639269516e-05,8.2656273211586e-06,1.6400054208648,"72",1.78086619802479,1.0711332885084,0.26301260295279
"allstar_mine_2","11",4.95,92,2602,"S","F",5.11872168734344e-05,8.53120281223906e-06,1.72347531560385,"72",1.3672894725058,0.711105175468732,1.00178104557676
"allstar_mine_2","12",5.07,93,1406,"S","C",2.76591955895652e-05,4.60986593159421e-06,0.909243773489981,"72",1.13494094569376,0.432986209933194,1.04251436662889
"allstar_mine_2","13",5.04,94,1775,"S","C",3.49182590124312e-05,5.8197098354052e-06,1.15470433242167,"72",1.13494094569376,0.432986209933194,0.0912887582769032
