"","site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"38","allstar_mine_1","21",5.07,75,2319,"W","F",9.15916473057419e-05,1.5265274550957e-05,3.01090227829526,2.69841704949043,1.41959827775634,0.440244587079535
"39","allstar_mine_1","22",5.08,76,2381,"S","C",9.40404106231011e-05,1.56734017705169e-05,3.08531530915686,3.55763487923408,1.23569957531986,0.764456959459518
"40","allstar_mine_1","23",5,77,2494,"S","B",9.8503479249901e-05,1.64172465416502e-05,3.28344930833003,3.61873471098164,0.452972642897706,1.48037815487823
"41","allstar_mine_1","24",4.98,78,2639,"S","F",0.000104230425717918,1.73717376196531e-05,3.48830072683797,3.60453738356146,1.97062489262539,0.117969337704477
"42","allstar_mine_1","3",5.07,57,2188,"W","B",8.64176473932571e-05,1.44029412322095e-05,2.84081681108669,2.55224637615076,0.512998791685708,1.1250335853139
"43","allstar_mine_1","4",5,58,2688,"S","C",0.000106165738662283,1.76942897770472e-05,3.53885795540943,3.55763487923408,1.23569957531986,0.0303907587243254
"44","allstar_mine_1","5",5.08,59,2905,"S","B",0.00011473641027304,1.91227350455067e-05,3.76431792234384,3.61873471098164,0.452972642897706,0.642790303762659
"45","allstar_mine_1","6",5.05,60,2175,"S","F",8.59041970202625e-05,1.43173661700437e-05,2.83512201387005,3.60453738356146,1.97062489262539,0.780884654985092
"46","allstar_mine_1","7",4.98,61,1730,"W","B",6.83283957908295e-05,1.13880659651382e-05,2.2867602339635,2.55224637615076,0.512998791685708,1.03503613065001
"47","allstar_mine_1","8",4.99,62,1689,"W","C",6.67090523067693e-05,1.11181753844616e-05,2.22809125941113,3.06799495064442,1.4497430484658,1.15869317962534
"48","allstar_mine_1","9",5.07,63,2114,"W","F",8.34949298854413e-05,1.39158216475736e-05,2.74473799754902,2.69841704949043,1.41959827775634,0.0652592339458166
"49","allstar_mine_2","1",4.98,82,2074,"W","F",8.19150825839193e-05,1.36525137639865e-05,2.74146862730653,2.50119010993205,1.17368854005619,0.409441703099497
"50","allstar_mine_2","10",5.04,91,2521,"S","B",9.95698761784284e-05,1.65949793630714e-05,3.29265463553004,3.5754621707854,2.15052459144797,0.26301260295279
"51","allstar_mine_2","11",4.95,92,2602,"S","F",0.000102769066964011,1.71281778273351e-05,3.46023794491618,2.74512020660495,1.42769269087041,1.00178104557676
"52","allstar_mine_2","12",5.07,93,1406,"S","C",5.55316326485007e-05,9.25527210808345e-06,1.82549745721567,2.27863183764406,0.869310572464651,1.04251436662889
"53","allstar_mine_2","13",5.04,94,1775,"S","C",7.01057240050418e-05,1.16842873341736e-05,2.3183109790027,2.27863183764406,0.869310572464651,0.0912887582769029
"54","allstar_mine_2","14",4.99,95,2079,"S","F",8.21125634966095e-05,1.36854272494349e-05,2.74257059106912,2.74512020660495,1.42769269087041,0.00357165873599628
"55","allstar_mine_2","15",5.01,96,2032,"S","B",8.02562429173211e-05,1.33760404862202e-05,2.66986836052299,3.5754621707854,2.15052459144797,0.842207351511997
"56","allstar_mine_2","16",5.06,97,1912,"W","B",7.55167010127549e-05,1.25861168354591e-05,2.48737486866782,3.18220187162606,2.64173679776702,0.526038024337288
"57","allstar_mine_2","17",5,98,1373,"W","C",5.4228258624745e-05,9.03804310412417e-06,1.80760862082483,2.05560951645253,0.572679073674242,0.866107762717973
"58","allstar_mine_2","18",4.99,99,1389,"W","F",5.48601975453538e-05,9.14336625755897e-06,1.83233792736653,2.50119010993205,1.17368854005619,1.13974390945914
"59","allstar_mine_2","2",5.02,83,1795,"W","B",7.08956476558028e-05,1.18159412759671e-05,2.35377316254325,3.18220187162606,2.64173679776702,0.627184895772392
"60","allstar_mine_2","3",5.12,84,1548,"W","C",6.1140090568904e-05,1.01900150948173e-05,1.99023732320651,2.05560951645253,0.572679073674242,0.22830306274892
"61","allstar_mine_2","4",4.98,85,3604,"S","B",0.000142344241867138,2.37240403111897e-05,4.76386351630316,3.5754621707854,2.15052459144797,1.10521995446479
"62","allstar_mine_2","5",5.13,86,1584,"S","F",6.25619531402739e-05,1.04269921900457e-05,2.03255208382956,2.74512020660495,1.42769269087041,0.998209386840762
