site,plot,weight,poxc,,,,,,,,
allstar_mine_2,10,2.46,1253.912,,,,,,,,
allstar_mine_2,11,2.48,807.1621,,,,,,,,
allstar_mine_2,11,2.47,799.6008,,,,,,,,
allstar_mine_2,11,2.52,1011.943,,,,,,,,
allstar_mine_2,12,2.53,511.2498,,,,,,,,
allstar_mine_2,12,2.48,521.5573,,,,,,,,
allstar_mine_2,12,2.51,515.3235,,,,,,,,
allstar_mine_2,13,2.49,583.9157,,,,,,,,
allstar_mine_2,13,2.51,583.3865,,,,,,,,
allstar_mine_2,13,2.5,473.94,,,,,,,,
allstar_mine_2,14,2.55,1020.706,,,,,,,,
allstar_mine_2,14,2.54,910.6299,,,,,,,,
allstar_mine_2,14,2.49,833.3133,,,,,,,,
allstar_mine_2,15,2.46,715.8659,,,,,,,,
allstar_mine_2,15,2.55,522.7694,,,,,,,,
allstar_mine_2,15,2.5,613.4688,,,,,,,,
allstar_mine_2,16,2.51,790.981673,,,,,,,,
allstar_mine_2,16,2.54,797.598425,,,,,,,,
allstar_mine_2,16,2.49,817.684337,,,,,,,,
allstar_mine_2,17,2.48,667.8,,,,,,,,
allstar_mine_2,17,2.48,602.5645,,,,,,,,
allstar_mine_2,17,2.48,583.9258,,,,,,,,
allstar_mine_2,18,2.49,736.6916,,,,,,,,
allstar_mine_2,18,2.48,797.4073,,,,,,,,
allstar_mine_2,18,2.48,547.1782,,,,,,,,
allstar_mine_2,offsite 1,2.55,786.3459,,,,,,,,
allstar_mine_2,offsite 1,2.47,811.8146,,,,,,,,
allstar_mine_2,offsite 1,2.46,815.1146,,,,,,,,
allstar_mine_2,offsite 2,2.52,659.2,,,,,,,,
allstar_mine_2,offsite 2,2.52,659.2,,,,,,,,
allstar_mine_2,offsite 2,2.47,672.5441,,,,,,,,
allstar_mine_2,offsite 3,2.48,1502.826,,,,,,,,
allstar_mine_2,offsite 3,2.47,1162.377,,,,,,,,
allstar_mine_2,offsite 3,2.55,1120.666,,,,,,,,
goshen,1,2.51,808.494,,,,,,,,
goshen,1,2.46,778.2439,,,,,,,,
goshen,1,2.47,880.7611,,,,,,,,
goshen,2,2.49,954.9108,,,,,,,,
goshen,2,2.5,976.8384,,,,,,,,
goshen,2,2.48,950.1097,,,,,,,,
goshen,3,2.52,990.3714,,,,,,,,
goshen,3,2.46,975.278,,,,,,,,
goshen,3,2.53,1041.581,,,,,,,,
goshen,4,2.47,973.3482,,,,,,,,
goshen,4,2.47,865.7198,,,,,,,,
goshen,4,2.48,897.9605,,,,,,,,
goshen,5,2.47,961.6883,,,,,,,,
goshen,5,2.47,891.6923,,,,,,,,
goshen,5,2.52,696.4286,,,,,,,,
goshen,6,2.5,1165.752,,,,,,,,
goshen,6,2.52,1184.75,,,,,,,,
goshen,6,2.5,1182.024,,,,,,,,
goshen,7,2.5,750.312,,,,,,,,
goshen,7,2.51,767.2231,,,,,,,,
goshen,7,2.52,704.7143,,,,,,,,
goshen,8,2.46,1107.695,,,,,,,,
goshen,8,2.46,1298.561,,,,,,,,
goshen,8,2.5,1225.836,,,,,,,,
goshen,9,2.51,900.9179,,,,,,,,
goshen,9,2.52,998.0571,,,,,,,,
goshen,9,2.46,721.1415,,,,,,,,
goshen,10,2.51,989.8996,,,,,,,,
goshen,10,2.51,953.498,,,,,,,,
goshen,10,2.47,919.6178,,,,,,,,
goshen,11,2.5,514.6848,,,,,,,,
goshen,11,2.49,459.6723,,,,,,,,
goshen,11,2.5,437.5296,,,,,,,,
goshen,12,2.52,873.1714,,,,,,,,
goshen,12,2.53,953.9858,,,,,,,,
goshen,12,2.47,981.2696,,,,,,,,
goshen,13,2.52,1247.829,,,,,,,,
goshen,13,2.49,1254.708,,,,,,,,
goshen,13,2.49,1238.4,,,,,,,,
goshen,14,2.48,971.7387,,,,,,,,
goshen,14,2.52,883.9429,,,,,,,,
goshen,14,2.46,892.4195,,,,,,,,
goshen,15,2.5,1059.984,,,,,,,,
goshen,15,2.53,1143.334,,,,,,,,
goshen,15,2.45,1053.316,,,,,,,,
goshen,16,2.53,723.1162,,,,,,,,
goshen,16,2.48,625.8629,,,,,,,,
goshen,16,2.49,744.0145,,,,,,,,
goshen,17,2.51,792.6311,,,,,,,,
goshen,17,2.55,611.7176,,,,,,,,
goshen,17,2.48,696.3532,,,,,,,,
goshen,18,2.53,918.4411,,,,,,,,
goshen,18,2.52,822.6357,,,,,,,,
goshen,18,2.49,885.2675,,,,,,,,
goshen,19,2.51,640.4845,,,,,,,,
goshen,19,2.47,617.0356,,,,,,,,
goshen,19,2.53,715.6103,,,,,,,,
goshen,20,2.47,950.4146,,,,,,,,
goshen,20,2.52,1007.329,,,,,,,,
goshen,20,2.5,958.104,,,,,,,,
goshen,21,2.47,719.3004,,,,,,,,
goshen,21,2.52,755.8571,,,,,,,,
goshen,21,2.5,885.7224,,,,,,,,
goshen,22,2.55,1115.322,,,,,,,,
goshen,22,2.45,1252.337,,,,,,,,
goshen,22,2.53,1238.051,,,,,,,,
goshen,23,2.51,737.5339,,,,,,,,
goshen,23,2.51,811.5347,,,,,,,,
goshen,23,2.51,489.4135,,,,,,,,
goshen,24,2.52,669.5714,,,,,,,,
goshen,24,2.47,638.8907,,,,,,,,
goshen,24,2.5,701.1504,,,,,,,,
goshen,offsite 1,2.45,635.5837,,,,,,,,
goshen,offsite 1,2.52,727.1429,,,,,,,,
goshen,offsite 1,2.47,802.6397,,,,,,,,
goshen,offsite 2,2.54,745.731496,,,,,,,,
goshen,offsite 2,2.51,750.607171,,,,,,,,
goshen,offsite 2,2.53,844.811858,,,,,,,,
goshen,offsite 3,2.46,747.6073,,,,,,,,
goshen,offsite 3,2.47,744.5806,,,,,,,,
goshen,offsite 3,2.46,747.6073,,,,,,,,
jackson_mill,1,2.51,496.4199,,,,,,,,
jackson_mill,1,2.5,498.4056,,,,,,,,
jackson_mill,1,2.46,506.5098,,,,,,,,
jackson_mill,3,2.5,666.9648,,,,,,,,
jackson_mill,3,2.46,666.9366,,,,,,,,
jackson_mill,3,2.53,754.2071,,,,,,,,
jackson_mill,4,2.51,1266.404,,,,,,,,
jackson_mill,4,2.5,1020.038,,,,,,,,
jackson_mill,4,2.46,884.4,,,,,,,,
jackson_mill,5,2.51,885.6287,,,,,,,,
jackson_mill,5,2.49,963.1807,,,,,,,,
jackson_mill,5,2.55,865.1859,,,,,,,,
jackson_mill,6,2.52,885.4286,,,,,,,,
jackson_mill,6,2.51,878.9737,,,,,,,,
jackson_mill,6,2.52,918.5714,,,,,,,,
jackson_mill,7,2.47,914.5749,,,,,,,,
jackson_mill,7,2.45,831.3061,,,,,,,,
jackson_mill,7,2.54,875.5512,,,,,,,,
jackson_mill,8,2.47,1400.283,,,,,,,,
jackson_mill,8,2.5,1413.504,,,,,,,,
jackson_mill,8,2.48,1434.992,,,,,,,,
jackson_mill,9,2.47,657,,,,,,,,
jackson_mill,9,2.48,344.4605,,,,,,,,
jackson_mill,9,2.47,237.8186,,,,,,,,
jackson_mill,10,2.48,637.1347,,,,,,,,
jackson_mill,10,2.5,696.0816,,,,,,,,
jackson_mill,10,2.5,832.7088,,,,,,,,
jackson_mill,11,2.5,602.1504,,,,,,,,
jackson_mill,11,2.52,601.6071,,,,,,,,
jackson_mill,11,2.47,570.5709,,,,,,,,
jackson_mill,12,2.53,755.3312,,,,,,,,
