"site","plot","subsample_weight","POM...MAOM","fraction","pom_weight","crop","treatment","date","land_type","weight_bc"
"Reedsville",17,9.99,10.15,"POM",3.35,"Switchgrass","Control","August 2022","Agriculture",1.16573208538942
"Reedsville",18,9.99,10.56,"POM",2.82,"Switchgrass","Biochar","August 2022","Agriculture",1.00483805804212
"Reedsville",19,10.02,10.22,"POM",2.61,"Willow","Control","August 2022","Agriculture",0.931993495591049
"Reedsville",20,9.98,9.93,"POM",1.82,"Willow","Control","August 2022","Agriculture",0.588099957648621
"Reedsville",21,9.98,10.4,"POM",2.24,"Willow","Biochar","August 2022","Agriculture",0.787083899426202
"Reedsville",22,9.99,10.48,"POM",3.01,"Switchgrass","Biochar","August 2022","Agriculture",1.0659495975129
"Reedsville",23,10.02,10.44,"POM",2.85,"Switchgrass","Control","August 2022","Agriculture",1.01477253854311
"Reedsville",24,9.99,10.79,"POM",3.52,"Switchgrass","Control","August 2022","Agriculture",1.21166655037812
"Agronomy Farm",1,NA,10.85,"POM",1.74,"Willow","Control","June 2021","Agriculture",0.544691643744577
"Agronomy Farm",10,NA,11.14,"POM",2.06,"Switchgrass","Control","June 2021","Agriculture",0.7071071642289
"Agronomy Farm",11,9.99,10.89,"POM",2.18,"Switchgrass","Biochar","June 2021","Agriculture",0.761206783575156
"Agronomy Farm",12,10,10.23,"POM",2.97,"Switchgrass","Control","June 2021","Agriculture",1.05343066425465
"Agronomy Farm",13,9.98,10.84,"POM",1.97,"Switchgrass","Control","June 2021","Agriculture",0.664291226464342
"Agronomy Farm",14,10,10.02,"POM",1.76,"Switchgrass","Control","June 2021","Agriculture",0.555739233375923
"Agronomy Farm",15,NA,11.95,"POM",3.87,"Switchgrass","Biochar","June 2021","Agriculture",1.29924714990274
"Agronomy Farm",16,10.01,9.39,"POM",2.13,"Willow","Biochar","June 2021","Agriculture",0.739058753989554
"Agronomy Farm",17,10,10,"POM",2.05,"Willow","Control","June 2021","Agriculture",0.702448828150368
"Agronomy Farm",18,9.99,10.11,"POM",2.25,"Willow","Control","June 2021","Agriculture",0.791325195595161
"Agronomy Farm",19,10.01,10.56,"POM",2.71,"Switchgrass","Control","June 2021","Agriculture",0.967427796020348
"Agronomy Farm",2,NA,10.93,"POM",2.13,"Willow","Biochar","June 2021","Agriculture",0.739058753989554
"Agronomy Farm",20,10.01,10,"POM",2.5,"Switchgrass","Control","June 2021","Agriculture",0.891313139910473
"Agronomy Farm",21,10.02,9.48,"POM",2.85,"Switchgrass","Biochar","June 2021","Agriculture",1.01477253854311
"Agronomy Farm",22,10.01,10.09,"POM",2.08,"Willow","Control","June 2021","Agriculture",0.716352307040164
"Agronomy Farm",23,10,9.76,"POM",2.18,"Willow","Biochar","June 2021","Agriculture",0.761206783575156
"Agronomy Farm",3,9.98,10.62,"POM",2.75,"Willow","Control","June 2021","Agriculture",0.981214858218522
"Agronomy Farm",4,NA,10.23,"POM",1.82,"Switchgrass","Biochar","June 2021","Agriculture",0.588099957648621
"Agronomy Farm",5,10.05,9.91,"POM",1.66,"Switchgrass","Control","June 2021","Agriculture",0.499112929948207
"Agronomy Farm",6,9.99,10.71,"POM",2.84,"Switchgrass","Control","June 2021","Agriculture",1.01147341878861
"Agronomy Farm",7,9.98,9.46,"POM",1.91,"Willow","Biochar","June 2021","Agriculture",0.634578341331175
"Agronomy Farm",8,10,9.95,"POM",1.75,"Willow","Control","June 2021","Agriculture",0.550232177420588
"Agronomy Farm",9,10.01,10.52,"POM",2.73,"Willow","Control","June 2021","Agriculture",0.974348108746404
"Allstar Mine 1",1,9.98,9.97,"POM",3.63,"Willow","Control","June 2021","Mine",1.2401519425531
"Allstar Mine 1",11,9.98,10.64,"POM",3.41,"Switchgrass","Control","June 2021","Mine",1.18222097669079
"Allstar Mine 1",12,10.02,10.22,"POM",3.55,"Switchgrass","Biochar","June 2021","Mine",1.21952793351106
"Allstar Mine 1",13,10.03,9.59,"POM",3.26,"Willow","Biochar","June 2021","Mine",1.14040207093751
"Allstar Mine 1",14,NA,11.17,"POM",3.32,"Willow","Control","June 2021","Mine",1.15736978356692
"Allstar Mine 1",15,9.98,10.49,"POM",3.01,"Willow","Control","June 2021","Mine",1.0659495975129
"Allstar Mine 1",16,9.99,10.6,"POM",3.17,"Switchgrass","Control","June 2021","Mine",1.11431926647991
"Allstar Mine 1",17,10.02,9.81,"POM",3.06,"Switchgrass","Biochar","June 2021","Mine",1.08135241976519
"Allstar Mine 1",18,9.98,10.37,"POM",2.82,"Switchgrass","Control","June 2021","Mine",1.00483805804212
"Allstar Mine 1",19,9.98,10.53,"POM",3.5,"Willow","Biochar","June 2021","Mine",1.2063860479451
"Allstar Mine 1",2,9.99,9.96,"POM",2.76,"Willow","Control","June 2021","Mine",0.984628397314688
"Allstar Mine 1",20,10.05,10.25,"POM",3.46,"Willow","Control","June 2021","Mine",1.1957283602968
"Allstar Mine 1",21,10.02,10,"POM",3.26,"Willow","Control","June 2021","Mine",1.14040207093751
"Allstar Mine 1",22,NA,10.83,"POM",3.8,"Switchgrass","Control","June 2021","Mine",1.28242172157129
"Allstar Mine 1",24,9.99,10.94,"POM",4.23,"Switchgrass","Control","June 2021","Mine",1.38097023805282
"Allstar Mine 1",3,10.02,9.91,"POM",3.08,"Willow","Biochar","June 2021","Mine",1.08743894967781
"Allstar Mine 1",4,9.99,10.1,"POM",3.67,"Switchgrass","Control","June 2021","Mine",1.25028390382541
"Allstar Mine 1",5,9.99,10.27,"POM",3.43,"Switchgrass","Biochar","June 2021","Mine",1.18764897899742
"Allstar Mine 1",6,10,9.8,"POM",3.23,"Switchgrass","Control","June 2021","Mine",1.13179357607538
"Allstar Mine 1",7,9.98,10.73,"POM",3.58,"Willow","Biochar","June 2021","Mine",1.22731916965475
"Allstar Mine 1",8,9.98,10.05,"POM",3.29,"Willow","Control","June 2021","Mine",1.14892695225274
"Allstar Mine 1",9,9.98,10.4,"POM",3.5,"Willow","Control","June 2021","Mine",1.2063860479451
"Allstar Mine 2",10,10,10.25,"POM",2.82,"Switchgrass","Biochar","June 2021","Mine",1.00483805804212
"Allstar Mine 2",11,10.03,10.29,"POM",2.57,"Switchgrass","Control","June 2021","Mine",0.917414715340401
"Allstar Mine 2",12,9.98,10.48,"POM",2.66,"Switchgrass","Control","June 2021","Mine",0.949887262234851
"Allstar Mine 2",13,10.02,10.36,"POM",3.56,"Switchgrass","Control","June 2021","Mine",1.22213274614338
"Allstar Mine 2",14,10.01,10.59,"POM",3.3,"Switchgrass","Control","June 2021","Mine",1.1517502700671
"Allstar Mine 2",15,10.01,9.77,"POM",3.95,"Switchgrass","Biochar","June 2021","Mine",1.31808538817297
"Allstar Mine 2",16,NA,10.71,"POM",3.2,"Willow","Biochar","June 2021","Mine",1.12309985945287
"Allstar Mine 2",17,NA,11.37,"POM",3.58,"Willow","Control","June 2021","Mine",1.22731916965475
"Allstar Mine 2",18,10,10.09,"POM",3.51,"Willow","Control","June 2021","Mine",1.20903028815037
"Allstar Mine 2",2,9.98,10.1,"POM",2.55,"Willow","Biochar","June 2021","Mine",0.910034812773462
